Policy Type Name,a_group,Insured'S Gender,Termination  Reason,merge_reason_code,Type,Details,Termination Reason  Count
VL Whole life,23-30,1,G41,G41,Advanced disability,Advanced disability,1
VL Whole life,23-30,2,G31,G31,Death,Crude death,4
VL Whole life,23-30,2,G53,G53,Maturity,Maturity (Settled),2
VL Whole life,31-40,1,G31,G31,Death,Crude death,47
VL Whole life,31-40,1,G36,G36,Death,Termination by Living Needs benefit payout,1
VL Whole life,31-40,1,G41,G41,Advanced disability,Advanced disability,2
VL Whole life,31-40,1,G52,G52,Maturity,Maturity (Unsettled),1
VL Whole life,31-40,1,G53,G53,Maturity,Maturity (Settled),5
VL Whole life,31-40,2,G31,G31,Death,Crude death,16
VL Whole life,31-40,2,G53,G53,Maturity,Maturity (Settled),1
VL Whole life,41-50,1,G31,G31,Death,Crude death,83
VL Whole life,41-50,1,G41,G41,Advanced disability,Advanced disability,4
VL Whole life,41-50,1,G53,G53,Maturity,Maturity (Settled),2
VL Whole life,41-50,2,G31,G31,Death,Crude death,23
VL Whole life,41-50,2,G36,G36,Death,Termination by Living Needs benefit payout,2
VL Whole life,41-50,2,G41,G41,Advanced disability,Advanced disability,2
VL Whole life,41-50,2,G53,G53,Maturity,Maturity (Settled),4
VL Whole life,51-60,1,G31,G31,Death,Crude death,87
VL Whole life,51-60,1,G36,G36,Death,Termination by Living Needs benefit payout,3
VL Whole life,51-60,1,G41,G41,Advanced disability,Advanced disability,3
VL Whole life,51-60,1,G53,G53,Maturity,Maturity (Settled),3
VL Whole life,51-60,2,G31,G31,Death,Crude death,27
VL Whole life,51-60,2,G53,G53,Maturity,Maturity (Settled),2
VL Whole life,61-64,1,G31,G31,Death,Crude death,25
VL Whole life,61-64,1,G36,G36,Death,Termination by Living Needs benefit payout,3
VL Whole life,61-64,1,G41,G41,Advanced disability,Advanced disability,3
VL Whole life,61-64,2,G31,G31,Death,Crude death,13
VL Whole life,greater than 64,1,G31,G31,Death,Crude death,63
VL Whole life,greater than 64,1,G41,G41,Advanced disability,Advanced disability,5
VL Whole life,greater than 64,2,G31,G31,Death,Crude death,42
VL Whole life,greater than 64,2,G41,G41,Advanced disability,Advanced disability,1
VL Whole life,greater than 64,2,G53,G53,Maturity,Maturity (Settled),1
Whole life,18-22,1,G31,G31,Death,Crude death,125
Whole life,18-22,1,G36,G36,Death,Termination by Living Needs benefit payout,1
Whole life,18-22,1,G41,G41,Advanced disability,Advanced disability,5
Whole life,18-22,2,G31,G31,Death,Crude death,33
Whole life,18-22,2,G41,G41,Advanced disability,Advanced disability,1
Whole life,23-30,1,G31,G31,Death,Crude death,405
Whole life,23-30,1,G36,G36,Death,Termination by Living Needs benefit payout,3
Whole life,23-30,1,G41,G41,Advanced disability,Advanced disability,14
Whole life,23-30,2,G31,G31,Death,Crude death,115
Whole life,23-30,2,G41,G41,Advanced disability,Advanced disability,7
Whole life,31-40,1,G31,G31,Death,Crude death,922
Whole life,31-40,1,G36,G36,Death,Termination by Living Needs benefit payout,8
Whole life,31-40,1,G41,G41,Advanced disability,Advanced disability,38
Whole life,31-40,2,G31,G31,Death,Crude death,257
Whole life,31-40,2,G36,G36,Death,Termination by Living Needs benefit payout,3
Whole life,31-40,2,G41,G41,Advanced disability,Advanced disability,11
Whole life,41-50,1,G31,G31,Death,Crude death,1514
Whole life,41-50,1,G36,G36,Death,Termination by Living Needs benefit payout,13
Whole life,41-50,1,G41,G41,Advanced disability,Advanced disability,56
Whole life,41-50,2,G31,G31,Death,Crude death,596
Whole life,41-50,2,G36,G36,Death,Termination by Living Needs benefit payout,15
Whole life,41-50,2,G41,G41,Advanced disability,Advanced disability,13
Whole life,51-60,1,G31,G31,Death,Crude death,2392
Whole life,51-60,1,G36,G36,Death,Termination by Living Needs benefit payout,27
Whole life,51-60,1,G41,G41,Advanced disability,Advanced disability,85
Whole life,51-60,2,G31,G31,Death,Crude death,908
Whole life,51-60,2,G36,G36,Death,Termination by Living Needs benefit payout,11
Whole life,51-60,2,G41,G41,Advanced disability,Advanced disability,16
Whole life,61-64,1,G31,G31,Death,Crude death,817
Whole life,61-64,1,G36,G36,Death,Termination by Living Needs benefit payout,5
Whole life,61-64,1,G41,G41,Advanced disability,Advanced disability,26
Whole life,61-64,2,G31,G31,Death,Crude death,423
Whole life,61-64,2,G36,G36,Death,Termination by Living Needs benefit payout,5
Whole life,61-64,2,G41,G41,Advanced disability,Advanced disability,6
Whole life,greater than 64,1,G31,G31,Death,Crude death,1629
Whole life,greater than 64,1,G36,G36,Death,Termination by Living Needs benefit payout,7
Whole life,greater than 64,1,G41,G41,Advanced disability,Advanced disability,21
Whole life,greater than 64,2,G31,G31,Death,Crude death,972
Whole life,greater than 64,2,G36,G36,Death,Termination by Living Needs benefit payout,7
Whole life,greater than 64,2,G41,G41,Advanced disability,Advanced disability,16
