Policy Type Name,a_group,Policyholder'S_Gender,application Channel,detail,application Channel Count
Dread Disease W.L.,18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),161
Dread Disease W.L.,18-22,1,60,Existing Policyholder,618
Dread Disease W.L.,18-22,1,70,Group,44
Dread Disease W.L.,18-22,1,99,Other,55
Dread Disease W.L.,18-22,1,,,33
Dread Disease W.L.,18-22,2,10,apply by self,11
Dread Disease W.L.,18-22,2,25,Introduced by Agency,6
Dread Disease W.L.,18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),192
Dread Disease W.L.,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),117
Dread Disease W.L.,18-22,2,60,Existing Policyholder,397
Dread Disease W.L.,18-22,2,70,Group,25
Dread Disease W.L.,18-22,2,99,Other,42
Dread Disease W.L.,18-22,2,,,26
Dread Disease W.L.,23-30,1,10,apply by self,80
Dread Disease W.L.,23-30,1,25,Introduced by Agency,28
Dread Disease W.L.,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1414
Dread Disease W.L.,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),535
Dread Disease W.L.,23-30,1,60,Existing Policyholder,2089
Dread Disease W.L.,23-30,1,70,Group,168
Dread Disease W.L.,23-30,1,99,Other,381
Dread Disease W.L.,23-30,1,,,333
Dread Disease W.L.,23-30,2,10,apply by self,32
Dread Disease W.L.,23-30,2,25,Introduced by Agency,10
Dread Disease W.L.,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),881
Dread Disease W.L.,23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),406
Dread Disease W.L.,23-30,2,60,Existing Policyholder,1241
Dread Disease W.L.,23-30,2,70,Group,78
Dread Disease W.L.,23-30,2,99,Other,196
Dread Disease W.L.,23-30,2,,,100
Dread Disease W.L.,31-40,1,10,apply by self,104
Dread Disease W.L.,31-40,1,20,Introduced by employee,1
Dread Disease W.L.,31-40,1,25,Introduced by Agency,26
Dread Disease W.L.,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1200
Dread Disease W.L.,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),466
Dread Disease W.L.,31-40,1,60,Existing Policyholder,2389
Dread Disease W.L.,31-40,1,70,Group,116
Dread Disease W.L.,31-40,1,99,Other,442
Dread Disease W.L.,31-40,1,A1,Conversion Policy,1
Dread Disease W.L.,31-40,1,,,336
Dread Disease W.L.,31-40,2,10,apply by self,35
Dread Disease W.L.,31-40,2,20,Introduced by employee,1
Dread Disease W.L.,31-40,2,25,Introduced by Agency,14
Dread Disease W.L.,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),642
Dread Disease W.L.,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),388
Dread Disease W.L.,31-40,2,60,Existing Policyholder,1278
Dread Disease W.L.,31-40,2,70,Group,32
Dread Disease W.L.,31-40,2,99,Other,181
Dread Disease W.L.,31-40,2,,,95
Dread Disease W.L.,41-50,1,10,apply by self,61
Dread Disease W.L.,41-50,1,20,Introduced by employee,1
Dread Disease W.L.,41-50,1,25,Introduced by Agency,13
Dread Disease W.L.,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),574
Dread Disease W.L.,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),318
Dread Disease W.L.,41-50,1,60,Existing Policyholder,1501
Dread Disease W.L.,41-50,1,70,Group,82
Dread Disease W.L.,41-50,1,99,Other,218
Dread Disease W.L.,41-50,1,A1,Conversion Policy,1
Dread Disease W.L.,41-50,1,,,123
Dread Disease W.L.,41-50,2,10,apply by self,32
Dread Disease W.L.,41-50,2,20,Introduced by employee,1
Dread Disease W.L.,41-50,2,25,Introduced by Agency,9
Dread Disease W.L.,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),344
Dread Disease W.L.,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),259
Dread Disease W.L.,41-50,2,60,Existing Policyholder,1050
Dread Disease W.L.,41-50,2,70,Group,24
Dread Disease W.L.,41-50,2,99,Other,106
Dread Disease W.L.,41-50,2,,,65
Dread Disease W.L.,51-60,1,10,apply by self,52
Dread Disease W.L.,51-60,1,20,Introduced by employee,1
Dread Disease W.L.,51-60,1,25,Introduced by Agency,10
Dread Disease W.L.,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),263
Dread Disease W.L.,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),217
Dread Disease W.L.,51-60,1,60,Existing Policyholder,963
Dread Disease W.L.,51-60,1,70,Group,62
Dread Disease W.L.,51-60,1,99,Other,107
Dread Disease W.L.,51-60,1,,,35
Dread Disease W.L.,51-60,2,10,apply by self,30
Dread Disease W.L.,51-60,2,25,Introduced by Agency,6
Dread Disease W.L.,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),242
Dread Disease W.L.,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),166
Dread Disease W.L.,51-60,2,60,Existing Policyholder,775
Dread Disease W.L.,51-60,2,70,Group,10
Dread Disease W.L.,51-60,2,99,Other,62
Dread Disease W.L.,51-60,2,,,22
Dread Disease W.L.,61-64,1,10,apply by self,3
Dread Disease W.L.,61-64,1,25,Introduced by Agency,1
Dread Disease W.L.,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),17
Dread Disease W.L.,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),30
Dread Disease W.L.,61-64,1,60,Existing Policyholder,108
Dread Disease W.L.,61-64,1,70,Group,4
Dread Disease W.L.,61-64,1,99,Other,10
Dread Disease W.L.,61-64,1,,,6
Dread Disease W.L.,61-64,2,10,apply by self,3
Dread Disease W.L.,61-64,2,25,Introduced by Agency,2
Dread Disease W.L.,61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),24
Dread Disease W.L.,61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),27
Dread Disease W.L.,61-64,2,60,Existing Policyholder,95
Dread Disease W.L.,61-64,2,70,Group,2
Dread Disease W.L.,61-64,2,99,Other,14
Dread Disease W.L.,61-64,2,,,8
Dread Disease W.L.,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),13
Dread Disease W.L.,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),26
Dread Disease W.L.,greater than 64,1,60,Existing Policyholder,59
Dread Disease W.L.,greater than 64,1,99,Other,6
Dread Disease W.L.,greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),26
Dread Disease W.L.,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),23
Dread Disease W.L.,greater than 64,2,60,Existing Policyholder,73
Dread Disease W.L.,greater than 64,2,70,Group,1
Dread Disease W.L.,greater than 64,2,99,Other,2
Dread Disease W.L.,greater than 64,2,A1,Conversion Policy,1
Dread Disease W.L.,greater than 64,2,,,2
Endowment,18-22,1,00,Migrating Special,82
Endowment,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),15
Endowment,18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),17
Endowment,18-22,1,60,Existing Policyholder,68
Endowment,18-22,1,70,Group,3
Endowment,18-22,1,99,Other,5
Endowment,18-22,1,,,75
Endowment,18-22,2,00,Migrating Special,101
Endowment,18-22,2,25,Introduced by Agency,1
Endowment,18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),13
Endowment,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),19
Endowment,18-22,2,60,Existing Policyholder,44
Endowment,18-22,2,70,Group,1
Endowment,18-22,2,99,Other,5
Endowment,18-22,2,,,106
Endowment,23-30,1,00,Migrating Special,272
Endowment,23-30,1,10,apply by self,7
Endowment,23-30,1,25,Introduced by Agency,4
Endowment,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),84
Endowment,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),46
Endowment,23-30,1,60,Existing Policyholder,149
Endowment,23-30,1,70,Group,11
Endowment,23-30,1,99,Other,33
Endowment,23-30,1,,,281
Endowment,23-30,2,00,Migrating Special,335
Endowment,23-30,2,10,apply by self,2
Endowment,23-30,2,25,Introduced by Agency,3
Endowment,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),71
Endowment,23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),52
Endowment,23-30,2,60,Existing Policyholder,122
Endowment,23-30,2,70,Group,8
Endowment,23-30,2,99,Other,27
Endowment,23-30,2,,,216
Endowment,31-40,1,00,Migrating Special,569
Endowment,31-40,1,10,apply by self,10
Endowment,31-40,1,25,Introduced by Agency,1
Endowment,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),114
Endowment,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),57
Endowment,31-40,1,60,Existing Policyholder,291
Endowment,31-40,1,70,Group,14
Endowment,31-40,1,99,Other,79
Endowment,31-40,1,A1,Conversion Policy,1
Endowment,31-40,1,,,504
Endowment,31-40,2,00,Migrating Special,577
Endowment,31-40,2,10,apply by self,1
Endowment,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),76
Endowment,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),71
Endowment,31-40,2,60,Existing Policyholder,194
Endowment,31-40,2,70,Group,5
Endowment,31-40,2,99,Other,12
Endowment,31-40,2,,,250
Endowment,31-40,3,,,1
Endowment,41-50,1,00,Migrating Special,558
Endowment,41-50,1,10,apply by self,3
Endowment,41-50,1,25,Introduced by Agency,1
Endowment,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),79
Endowment,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),74
Endowment,41-50,1,60,Existing Policyholder,244
Endowment,41-50,1,70,Group,29
Endowment,41-50,1,99,Other,118
Endowment,41-50,1,,,1246
Endowment,41-50,2,00,Migrating Special,469
Endowment,41-50,2,10,apply by self,1
Endowment,41-50,2,25,Introduced by Agency,1
Endowment,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),66
Endowment,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),54
Endowment,41-50,2,60,Existing Policyholder,198
Endowment,41-50,2,70,Group,8
Endowment,41-50,2,99,Other,16
Endowment,41-50,2,,,231
Endowment,41-50,3,,,7
Endowment,51-60,1,00,Migrating Special,407
Endowment,51-60,1,10,apply by self,3
Endowment,51-60,1,25,Introduced by Agency,2
Endowment,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),41
Endowment,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),35
Endowment,51-60,1,60,Existing Policyholder,309
Endowment,51-60,1,70,Group,11
Endowment,51-60,1,99,Other,132
Endowment,51-60,1,A1,Conversion Policy,1
Endowment,51-60,1,,,699
Endowment,51-60,2,00,Migrating Special,327
Endowment,51-60,2,20,Introduced by employee,1
Endowment,51-60,2,25,Introduced by Agency,2
Endowment,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),34
Endowment,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),30
Endowment,51-60,2,60,Existing Policyholder,150
Endowment,51-60,2,70,Group,5
Endowment,51-60,2,99,Other,13
Endowment,51-60,2,,,148
Endowment,61-64,1,00,Migrating Special,131
Endowment,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),9
Endowment,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),19
Endowment,61-64,1,60,Existing Policyholder,48
Endowment,61-64,1,70,Group,1
Endowment,61-64,1,99,Other,3
Endowment,61-64,1,,,220
Endowment,61-64,2,00,Migrating Special,98
Endowment,61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),6
Endowment,61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),11
Endowment,61-64,2,60,Existing Policyholder,39
Endowment,61-64,2,70,Group,1
Endowment,61-64,2,99,Other,1
Endowment,61-64,2,,,57
Endowment,greater than 64,1,00,Migrating Special,108
Endowment,greater than 64,1,10,apply by self,1
Endowment,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),12
Endowment,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),18
Endowment,greater than 64,1,60,Existing Policyholder,59
Endowment,greater than 64,1,70,Group,1
Endowment,greater than 64,1,99,Other,30
Endowment,greater than 64,1,A1,Conversion Policy,1
Endowment,greater than 64,1,,,175
Endowment,greater than 64,2,00,Migrating Special,94
Endowment,greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),10
Endowment,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),26
Endowment,greater than 64,2,60,Existing Policyholder,55
Endowment,greater than 64,2,99,Other,2
Endowment,greater than 64,2,,,87
Female Disease,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Female Disease,18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Female Disease,18-22,1,60,Existing Policyholder,4
Female Disease,18-22,1,70,Group,1
Female Disease,18-22,1,99,Other,1
Female Disease,18-22,1,,,22
Female Disease,18-22,2,10,apply by self,18
Female Disease,18-22,2,25,Introduced by Agency,8
Female Disease,18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),382
Female Disease,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),126
Female Disease,18-22,2,60,Existing Policyholder,595
Female Disease,18-22,2,70,Group,142
Female Disease,18-22,2,99,Other,223
Female Disease,18-22,2,,,2216
Female Disease,23-30,1,10,apply by self,13
Female Disease,23-30,1,25,Introduced by Agency,2
Female Disease,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),76
Female Disease,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),33
Female Disease,23-30,1,60,Existing Policyholder,103
Female Disease,23-30,1,70,Group,57
Female Disease,23-30,1,99,Other,59
Female Disease,23-30,1,,,593
Female Disease,23-30,2,10,apply by self,270
Female Disease,23-30,2,25,Introduced by Agency,26
Female Disease,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1441
Female Disease,23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),294
Female Disease,23-30,2,60,Existing Policyholder,1662
Female Disease,23-30,2,70,Group,409
Female Disease,23-30,2,99,Other,1938
Female Disease,23-30,2,,,8509
Female Disease,31-40,1,10,apply by self,9
Female Disease,31-40,1,25,Introduced by Agency,2
Female Disease,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),88
Female Disease,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),58
Female Disease,31-40,1,60,Existing Policyholder,145
Female Disease,31-40,1,70,Group,86
Female Disease,31-40,1,99,Other,65
Female Disease,31-40,1,,,908
Female Disease,31-40,2,10,apply by self,203
Female Disease,31-40,2,25,Introduced by Agency,16
Female Disease,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),718
Female Disease,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),198
Female Disease,31-40,2,60,Existing Policyholder,1128
Female Disease,31-40,2,70,Group,184
Female Disease,31-40,2,99,Other,1318
Female Disease,31-40,2,,,4930
Female Disease,41-50,1,10,apply by self,3
Female Disease,41-50,1,25,Introduced by Agency,4
Female Disease,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),71
Female Disease,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),77
Female Disease,41-50,1,60,Existing Policyholder,137
Female Disease,41-50,1,70,Group,90
Female Disease,41-50,1,99,Other,32
Female Disease,41-50,1,,,999
Female Disease,41-50,2,10,apply by self,59
Female Disease,41-50,2,25,Introduced by Agency,12
Female Disease,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),321
Female Disease,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),125
Female Disease,41-50,2,60,Existing Policyholder,629
Female Disease,41-50,2,70,Group,106
Female Disease,41-50,2,99,Other,389
Female Disease,41-50,2,,,2999
Female Disease,51-60,1,10,apply by self,3
Female Disease,51-60,1,25,Introduced by Agency,2
Female Disease,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),40
Female Disease,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),29
Female Disease,51-60,1,60,Existing Policyholder,82
Female Disease,51-60,1,70,Group,96
Female Disease,51-60,1,99,Other,12
Female Disease,51-60,1,,,479
Female Disease,51-60,2,10,apply by self,20
Female Disease,51-60,2,25,Introduced by Agency,5
Female Disease,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),148
Female Disease,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),71
Female Disease,51-60,2,60,Existing Policyholder,360
Female Disease,51-60,2,70,Group,43
Female Disease,51-60,2,99,Other,118
Female Disease,51-60,2,,,1314
Female Disease,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Female Disease,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Female Disease,61-64,1,60,Existing Policyholder,7
Female Disease,61-64,1,70,Group,2
Female Disease,61-64,1,99,Other,2
Female Disease,61-64,1,,,37
Female Disease,61-64,2,10,apply by self,2
Female Disease,61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),19
Female Disease,61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),7
Female Disease,61-64,2,60,Existing Policyholder,53
Female Disease,61-64,2,70,Group,4
Female Disease,61-64,2,99,Other,33
Female Disease,61-64,2,,,199
Female Disease,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),6
Female Disease,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),3
Female Disease,greater than 64,1,60,Existing Policyholder,9
Female Disease,greater than 64,1,70,Group,3
Female Disease,greater than 64,1,99,Other,4
Female Disease,greater than 64,1,,,29
Female Disease,greater than 64,2,10,apply by self,1
Female Disease,greater than 64,2,25,Introduced by Agency,2
Female Disease,greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
Female Disease,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Female Disease,greater than 64,2,60,Existing Policyholder,19
Female Disease,greater than 64,2,70,Group,2
Female Disease,greater than 64,2,99,Other,6
Female Disease,greater than 64,2,,,68
Inc. Dec. Term Life,18-22,1,60,Existing Policyholder,1
Inc. Dec. Term Life,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Inc. Dec. Term Life,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Inc. Dec. Term Life,23-30,1,60,Existing Policyholder,6
Inc. Dec. Term Life,23-30,1,99,Other,3
Inc. Dec. Term Life,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Inc. Dec. Term Life,23-30,2,60,Existing Policyholder,3
Inc. Dec. Term Life,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),4
Inc. Dec. Term Life,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Inc. Dec. Term Life,31-40,1,60,Existing Policyholder,35
Inc. Dec. Term Life,31-40,1,70,Group,1
Inc. Dec. Term Life,31-40,1,99,Other,1
Inc. Dec. Term Life,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Inc. Dec. Term Life,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Inc. Dec. Term Life,31-40,2,60,Existing Policyholder,4
Inc. Dec. Term Life,31-40,2,70,Group,1
Inc. Dec. Term Life,31-40,2,99,Other,1
Inc. Dec. Term Life,41-50,1,10,apply by self,1
Inc. Dec. Term Life,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),13
Inc. Dec. Term Life,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Inc. Dec. Term Life,41-50,1,60,Existing Policyholder,54
Inc. Dec. Term Life,41-50,1,70,Group,1
Inc. Dec. Term Life,41-50,1,99,Other,16
Inc. Dec. Term Life,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Inc. Dec. Term Life,41-50,2,60,Existing Policyholder,14
Inc. Dec. Term Life,41-50,2,99,Other,2
Inc. Dec. Term Life,41-50,3,99,Other,4
Inc. Dec. Term Life,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),10
Inc. Dec. Term Life,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),9
Inc. Dec. Term Life,51-60,1,60,Existing Policyholder,82
Inc. Dec. Term Life,51-60,1,70,Group,4
Inc. Dec. Term Life,51-60,1,99,Other,32
Inc. Dec. Term Life,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Inc. Dec. Term Life,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Inc. Dec. Term Life,51-60,2,60,Existing Policyholder,18
Inc. Dec. Term Life,51-60,2,99,Other,2
Inc. Dec. Term Life,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Inc. Dec. Term Life,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Inc. Dec. Term Life,61-64,1,60,Existing Policyholder,29
Inc. Dec. Term Life,61-64,1,70,Group,1
Inc. Dec. Term Life,61-64,1,99,Other,16
Inc. Dec. Term Life,61-64,2,60,Existing Policyholder,7
Inc. Dec. Term Life,61-64,2,99,Other,2
Inc. Dec. Term Life,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Inc. Dec. Term Life,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),3
Inc. Dec. Term Life,greater than 64,1,60,Existing Policyholder,28
Inc. Dec. Term Life,greater than 64,1,70,Group,1
Inc. Dec. Term Life,greater than 64,1,99,Other,13
Inc. Dec. Term Life,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Inc. Dec. Term Life,greater than 64,2,60,Existing Policyholder,1
Injury,23-30,1,60,Existing Policyholder,6
Injury,23-30,1,70,Group,3
Injury,23-30,1,99,Other,1
Injury,23-30,2,60,Existing Policyholder,1
Injury,31-40,1,10,apply by self,3
Injury,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),25
Injury,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Injury,31-40,1,60,Existing Policyholder,79
Injury,31-40,1,70,Group,1
Injury,31-40,1,99,Other,62
Injury,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Injury,31-40,2,60,Existing Policyholder,8
Injury,41-50,1,25,Introduced by Agency,1
Injury,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),15
Injury,41-50,1,60,Existing Policyholder,85
Injury,41-50,1,70,Group,1
Injury,41-50,1,99,Other,117
Injury,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Injury,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Injury,41-50,2,60,Existing Policyholder,10
Injury,41-50,2,99,Other,13
Injury,51-60,1,10,apply by self,3
Injury,51-60,1,25,Introduced by Agency,3
Injury,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),22
Injury,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Injury,51-60,1,60,Existing Policyholder,146
Injury,51-60,1,70,Group,84
Injury,51-60,1,99,Other,116
Injury,51-60,2,10,apply by self,1
Injury,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Injury,51-60,2,60,Existing Policyholder,6
Injury,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Injury,61-64,1,60,Existing Policyholder,45
Injury,61-64,1,70,Group,20
Injury,61-64,1,99,Other,13
Injury,61-64,2,60,Existing Policyholder,2
Injury,61-64,2,99,Other,1
Injury,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),4
Injury,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Injury,greater than 64,1,60,Existing Policyholder,48
Injury,greater than 64,1,99,Other,14
Injury,greater than 64,2,60,Existing Policyholder,5
Injury,greater than 64,2,99,Other,5
J.M.I.P,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
J.M.I.P,18-22,1,60,Existing Policyholder,1
J.M.I.P,18-22,1,99,Other,1
J.M.I.P,18-22,1,,,1
J.M.I.P,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
J.M.I.P,18-22,2,60,Existing Policyholder,1
J.M.I.P,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
J.M.I.P,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
J.M.I.P,23-30,1,60,Existing Policyholder,9
J.M.I.P,23-30,1,99,Other,1
J.M.I.P,23-30,1,,,11
J.M.I.P,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
J.M.I.P,23-30,2,60,Existing Policyholder,1
J.M.I.P,23-30,2,,,2
J.M.I.P,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),9
J.M.I.P,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),6
J.M.I.P,31-40,1,60,Existing Policyholder,20
J.M.I.P,31-40,1,70,Group,1
J.M.I.P,31-40,1,99,Other,1
J.M.I.P,31-40,1,,,23
J.M.I.P,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
J.M.I.P,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
J.M.I.P,31-40,2,60,Existing Policyholder,11
J.M.I.P,31-40,2,70,Group,2
J.M.I.P,31-40,2,99,Other,1
J.M.I.P,31-40,2,,,4
J.M.I.P,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),13
J.M.I.P,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),10
