Policy Type Name,a_group,Policyholder'S_Gender,Termination  Reason,merge_reason_code,Type,Details,Termination Reason  Count
Inc. Dec. Term Life,41-50,2,G22,G22,Surrender ,Surrender after lapse,1
Inc. Dec. Term Life,41-50,3,G21,G21,Surrender ,Surrender,4
Inc. Dec. Term Life,51-60,1,G21,G21,Surrender ,Surrender,129
Inc. Dec. Term Life,51-60,1,G22,G22,Surrender ,Surrender after lapse,6
Inc. Dec. Term Life,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Inc. Dec. Term Life,51-60,1,G24,G24,Surrender ,Surrender by conversion,1
Inc. Dec. Term Life,51-60,2,G21,G21,Surrender ,Surrender,20
Inc. Dec. Term Life,51-60,2,G22,G22,Surrender ,Surrender after lapse,2
Inc. Dec. Term Life,51-60,2,G24,G24,Surrender ,Surrender by conversion,2
Inc. Dec. Term Life,61-64,1,G21,G21,Surrender ,Surrender,44
Inc. Dec. Term Life,61-64,1,G22,G22,Surrender ,Surrender after lapse,4
Inc. Dec. Term Life,61-64,1,G24,G24,Surrender ,Surrender by conversion,1
Inc. Dec. Term Life,61-64,2,G21,G21,Surrender ,Surrender,8
Inc. Dec. Term Life,61-64,2,G24,G24,Surrender ,Surrender by conversion,1
Inc. Dec. Term Life,greater than 64,1,G21,G21,Surrender ,Surrender,44
Inc. Dec. Term Life,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,1
Inc. Dec. Term Life,greater than 64,1,G24,G24,Surrender ,Surrender by conversion,1
Inc. Dec. Term Life,greater than 64,2,G21,G21,Surrender ,Surrender,2
Injury,23-30,1,G21,G21,Surrender ,Surrender,7
Injury,23-30,1,G22,G22,Surrender ,Surrender after lapse,3
Injury,23-30,2,G21,G21,Surrender ,Surrender,1
Injury,31-40,1,G21,G21,Surrender ,Surrender,133
Injury,31-40,1,G22,G22,Surrender ,Surrender after lapse,10
Injury,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Injury,31-40,1,G26,G26,Surrender ,Retirement surrender,23
Injury,31-40,2,G21,G21,Surrender ,Surrender,11
Injury,41-50,1,G21,G21,Surrender ,Surrender,197
Injury,41-50,1,G22,G22,Surrender ,Surrender after lapse,7
Injury,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Injury,41-50,1,G26,G26,Surrender ,Retirement surrender,13
Injury,41-50,2,G21,G21,Surrender ,Surrender,27
Injury,41-50,2,G22,G22,Surrender ,Surrender after lapse,1
Injury,51-60,1,G21,G21,Surrender ,Surrender,344
Injury,51-60,1,G22,G22,Surrender ,Surrender after lapse,20
Injury,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Injury,51-60,1,G26,G26,Surrender ,Retirement surrender,10
Injury,51-60,2,G21,G21,Surrender ,Surrender,7
Injury,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Injury,61-64,1,G21,G21,Surrender ,Surrender,74
Injury,61-64,1,G22,G22,Surrender ,Surrender after lapse,7
Injury,61-64,2,G21,G21,Surrender ,Surrender,3
Injury,greater than 64,1,G21,G21,Surrender ,Surrender,62
Injury,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Injury,greater than 64,2,G21,G21,Surrender ,Surrender,10
J.M.I.P,18-22,1,G21,G21,Surrender ,Surrender,3
J.M.I.P,18-22,1,G22,G22,Surrender ,Surrender after lapse,1
J.M.I.P,18-22,2,G21,G21,Surrender ,Surrender,1
J.M.I.P,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,23-30,1,G21,G21,Surrender ,Surrender,24
J.M.I.P,23-30,1,G22,G22,Surrender ,Surrender after lapse,5
J.M.I.P,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,23-30,2,G21,G21,Surrender ,Surrender,3
J.M.I.P,23-30,2,G22,G22,Surrender ,Surrender after lapse,2
J.M.I.P,31-40,1,G21,G21,Surrender ,Surrender,50
J.M.I.P,31-40,1,G22,G22,Surrender ,Surrender after lapse,9
J.M.I.P,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,31-40,2,G21,G21,Surrender ,Surrender,22
J.M.I.P,31-40,2,G22,G22,Surrender ,Surrender after lapse,2
J.M.I.P,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,41-50,1,G21,G21,Surrender ,Surrender,64
J.M.I.P,41-50,1,G22,G22,Surrender ,Surrender after lapse,2
J.M.I.P,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
J.M.I.P,41-50,2,G21,G21,Surrender ,Surrender,43
J.M.I.P,41-50,2,G22,G22,Surrender ,Surrender after lapse,4
J.M.I.P,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,51-60,1,G21,G21,Surrender ,Surrender,23
J.M.I.P,51-60,1,G22,G22,Surrender ,Surrender after lapse,2
J.M.I.P,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
J.M.I.P,51-60,2,G21,G21,Surrender ,Surrender,26
J.M.I.P,51-60,2,G22,G22,Surrender ,Surrender after lapse,2
J.M.I.P,61-64,1,G21,G21,Surrender ,Surrender,8
J.M.I.P,61-64,2,G21,G21,Surrender ,Surrender,6
J.M.I.P,greater than 64,1,G21,G21,Surrender ,Surrender,4
J.M.I.P,greater than 64,2,G21,G21,Surrender ,Surrender,4
Joint life,18-22,1,G21,G21,Surrender ,Surrender,8
Joint life,18-22,1,G22,G22,Surrender ,Surrender after lapse,3
Joint life,18-22,2,G21,G21,Surrender ,Surrender,4
Joint life,23-30,1,G21,G21,Surrender ,Surrender,208
Joint life,23-30,1,G22,G22,Surrender ,Surrender after lapse,35
Joint life,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Joint life,23-30,2,G21,G21,Surrender ,Surrender,16
Joint life,23-30,2,G22,G22,Surrender ,Surrender after lapse,3
Joint life,31-40,1,G21,G21,Surrender ,Surrender,273
Joint life,31-40,1,G22,G22,Surrender ,Surrender after lapse,42
Joint life,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Joint life,31-40,1,G25,G25,Surrender ,Surrender of consent,1
Joint life,31-40,2,G21,G21,Surrender ,Surrender,31
Joint life,31-40,2,G22,G22,Surrender ,Surrender after lapse,2
Joint life,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Joint life,41-50,1,G21,G21,Surrender ,Surrender,132
Joint life,41-50,1,G22,G22,Surrender ,Surrender after lapse,24
Joint life,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Joint life,41-50,2,G21,G21,Surrender ,Surrender,33
Joint life,41-50,2,G22,G22,Surrender ,Surrender after lapse,5
Joint life,51-60,1,G21,G21,Surrender ,Surrender,47
Joint life,51-60,1,G22,G22,Surrender ,Surrender after lapse,13
Joint life,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Joint life,51-60,2,G21,G21,Surrender ,Surrender,4
Joint life,61-64,1,G21,G21,Surrender ,Surrender,8
Joint life,61-64,1,G22,G22,Surrender ,Surrender after lapse,2
Joint life,61-64,2,G21,G21,Surrender ,Surrender,3
Joint life,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,1
Joint life,greater than 64,2,G21,G21,Surrender ,Surrender,2
Joint life(Flexible),18-22,1,G21,G21,Surrender ,Surrender,53
Joint life(Flexible),18-22,1,G22,G22,Surrender ,Surrender after lapse,3
Joint life(Flexible),18-22,2,G21,G21,Surrender ,Surrender,21
Joint life(Flexible),18-22,2,G22,G22,Surrender ,Surrender after lapse,2
Joint life(Flexible),23-30,1,G21,G21,Surrender ,Surrender,455
Joint life(Flexible),23-30,1,G22,G22,Surrender ,Surrender after lapse,68
Joint life(Flexible),23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Joint life(Flexible),23-30,1,G24,G24,Surrender ,Surrender by conversion,1
Joint life(Flexible),23-30,2,G21,G21,Surrender ,Surrender,65
Joint life(Flexible),23-30,2,G22,G22,Surrender ,Surrender after lapse,17
Joint life(Flexible),23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Joint life(Flexible),31-40,1,G21,G21,Surrender ,Surrender,586
Joint life(Flexible),31-40,1,G22,G22,Surrender ,Surrender after lapse,90
Joint life(Flexible),31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,14
Joint life(Flexible),31-40,1,G24,G24,Surrender ,Surrender by conversion,4
Joint life(Flexible),31-40,2,G21,G21,Surrender ,Surrender,194
Joint life(Flexible),31-40,2,G22,G22,Surrender ,Surrender after lapse,18
Joint life(Flexible),31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Joint life(Flexible),41-50,1,G21,G21,Surrender ,Surrender,459
Joint life(Flexible),41-50,1,G22,G22,Surrender ,Surrender after lapse,59
Joint life(Flexible),41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,9
Joint life(Flexible),41-50,1,G24,G24,Surrender ,Surrender by conversion,2
Joint life(Flexible),41-50,2,G21,G21,Surrender ,Surrender,243
Joint life(Flexible),41-50,2,G22,G22,Surrender ,Surrender after lapse,15
Joint life(Flexible),41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,7
Joint life(Flexible),51-60,1,G21,G21,Surrender ,Surrender,358
Joint life(Flexible),51-60,1,G22,G22,Surrender ,Surrender after lapse,36
Joint life(Flexible),51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Joint life(Flexible),51-60,2,G21,G21,Surrender ,Surrender,251
Joint life(Flexible),51-60,2,G22,G22,Surrender ,Surrender after lapse,16
Joint life(Flexible),51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Joint life(Flexible),61-64,1,G21,G21,Surrender ,Surrender,76
Joint life(Flexible),61-64,1,G22,G22,Surrender ,Surrender after lapse,5
Joint life(Flexible),61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Joint life(Flexible),61-64,2,G21,G21,Surrender ,Surrender,62
Joint life(Flexible),61-64,2,G22,G22,Surrender ,Surrender after lapse,2
Joint life(Flexible),61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Joint life(Flexible),greater than 64,1,G21,G21,Surrender ,Surrender,147
Joint life(Flexible),greater than 64,1,G22,G22,Surrender ,Surrender after lapse,15
Joint life(Flexible),greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Joint life(Flexible),greater than 64,2,G21,G21,Surrender ,Surrender,202
Joint life(Flexible),greater than 64,2,G22,G22,Surrender ,Surrender after lapse,13
Joint life(Flexible),greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Juvenile,18-22,1,G21,G21,Surrender ,Surrender,366
Juvenile,18-22,1,G22,G22,Surrender ,Surrender after lapse,116
Juvenile,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,8
Juvenile,18-22,2,G21,G21,Surrender ,Surrender,285
Juvenile,18-22,2,G22,G22,Surrender ,Surrender after lapse,104
Juvenile,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,17
Juvenile,23-30,1,G21,G21,Surrender ,Surrender,4907
Juvenile,23-30,1,G22,G22,Surrender ,Surrender after lapse,889
Juvenile,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,118
Juvenile,23-30,1,G25,G25,Surrender ,Surrender of consent,2
Juvenile,23-30,2,G21,G21,Surrender ,Surrender,2301
Juvenile,23-30,2,G22,G22,Surrender ,Surrender after lapse,623
Juvenile,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,79
Juvenile,23-30,2,G25,G25,Surrender ,Surrender of consent,1
Juvenile,31-40,1,G21,G21,Surrender ,Surrender,6095
Juvenile,31-40,1,G22,G22,Surrender ,Surrender after lapse,1146
Juvenile,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,163
Juvenile,31-40,1,G24,G24,Surrender ,Surrender by conversion,1
Juvenile,31-40,2,G21,G21,Surrender ,Surrender,2424
Juvenile,31-40,2,G22,G22,Surrender ,Surrender after lapse,606
Juvenile,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,73
Juvenile,31-40,2,G25,G25,Surrender ,Surrender of consent,1
Juvenile,41-50,1,G21,G21,Surrender ,Surrender,1118
Juvenile,41-50,1,G22,G22,Surrender ,Surrender after lapse,286
Juvenile,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,38
Juvenile,41-50,2,G21,G21,Surrender ,Surrender,364
Juvenile,41-50,2,G22,G22,Surrender ,Surrender after lapse,133
Juvenile,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,17
Juvenile,51-60,1,G21,G21,Surrender ,Surrender,220
Juvenile,51-60,1,G22,G22,Surrender ,Surrender after lapse,46
Juvenile,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Juvenile,51-60,2,G21,G21,Surrender ,Surrender,433
Juvenile,51-60,2,G22,G22,Surrender ,Surrender after lapse,42
Juvenile,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Juvenile,61-64,1,G21,G21,Surrender ,Surrender,57
Juvenile,61-64,1,G22,G22,Surrender ,Surrender after lapse,8
Juvenile,61-64,2,G21,G21,Surrender ,Surrender,118
Juvenile,61-64,2,G22,G22,Surrender ,Surrender after lapse,10
Juvenile,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Juvenile,greater than 64,1,G21,G21,Surrender ,Surrender,12
Juvenile,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,3
Juvenile,greater than 64,2,G21,G21,Surrender ,Surrender,29
Juvenile,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,2
Juvenile,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Maternity Insurance(or New Pregnant Woman Insurance),23-30,1,G21,G21,Surrender ,Surrender,2
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,G21,G21,Surrender ,Surrender,3
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,G21,G21,Surrender ,Surrender,2
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,G25,G25,Surrender ,Surrender of consent,1
Medical,18-22,1,G21,G21,Surrender ,Surrender,17931
Medical,18-22,1,G22,G22,Surrender ,Surrender after lapse,4860
Medical,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,252
Medical,18-22,1,G24,G24,Surrender ,Surrender by conversion,1155
Medical,18-22,1,G25,G25,Surrender ,Surrender of consent,4
Medical,18-22,2,G21,G21,Surrender ,Surrender,21041
Medical,18-22,2,G22,G22,Surrender ,Surrender after lapse,4586
Medical,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,280
Medical,18-22,2,G24,G24,Surrender ,Surrender by conversion,1637
Medical,18-22,2,G25,G25,Surrender ,Surrender of consent,5
Medical,23-30,1,G21,G21,Surrender ,Surrender,86441
Medical,23-30,1,G22,G22,Surrender ,Surrender after lapse,16740
Medical,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,970
Medical,23-30,1,G24,G24,Surrender ,Surrender by conversion,6484
Medical,23-30,1,G25,G25,Surrender ,Surrender of consent,8
Medical,23-30,2,G21,G21,Surrender ,Surrender,90295
Medical,23-30,2,G22,G22,Surrender ,Surrender after lapse,16420
Medical,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1082
Medical,23-30,2,G24,G24,Surrender ,Surrender by conversion,7413
Medical,23-30,2,G25,G25,Surrender ,Surrender of consent,11
Medical,31-40,1,G21,G21,Surrender ,Surrender,97747
Medical,31-40,1,G22,G22,Surrender ,Surrender after lapse,21666
Medical,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1212
Medical,31-40,1,G24,G24,Surrender ,Surrender by conversion,12388
Medical,31-40,1,G25,G25,Surrender ,Surrender of consent,30
Medical,31-40,1,G26,G26,Surrender ,Retirement surrender,1
Medical,31-40,2,G21,G21,Surrender ,Surrender,82697
Medical,31-40,2,G22,G22,Surrender ,Surrender after lapse,20207
Medical,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1309
Medical,31-40,2,G24,G24,Surrender ,Surrender by conversion,12069
Medical,31-40,2,G25,G25,Surrender ,Surrender of consent,28
Medical,41-50,1,G21,G21,Surrender ,Surrender,68110
Medical,41-50,1,G22,G22,Surrender ,Surrender after lapse,17492
Medical,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,980
Medical,41-50,1,G24,G24,Surrender ,Surrender by conversion,8795
Medical,41-50,1,G25,G25,Surrender ,Surrender of consent,38
Medical,41-50,1,G26,G26,Surrender ,Retirement surrender,1
Medical,41-50,2,G21,G21,Surrender ,Surrender,53900
Medical,41-50,2,G22,G22,Surrender ,Surrender after lapse,13837
Medical,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,853
Medical,41-50,2,G24,G24,Surrender ,Surrender by conversion,9929
Medical,41-50,2,G25,G25,Surrender ,Surrender of consent,21
Medical,41-50,3,G21,G21,Surrender ,Surrender,1
Medical,51-60,1,G21,G21,Surrender ,Surrender,43000
Medical,51-60,1,G22,G22,Surrender ,Surrender after lapse,10008
Medical,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,623
Medical,51-60,1,G24,G24,Surrender ,Surrender by conversion,7144
Medical,51-60,1,G25,G25,Surrender ,Surrender of consent,68
Medical,51-60,2,G21,G21,Surrender ,Surrender,37798
Medical,51-60,2,G22,G22,Surrender ,Surrender after lapse,7766
Medical,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,607
Medical,51-60,2,G24,G24,Surrender ,Surrender by conversion,10200
Medical,51-60,2,G25,G25,Surrender ,Surrender of consent,30
Medical,51-60,3,G21,G21,Surrender ,Surrender,2
Medical,61-64,1,G21,G21,Surrender ,Surrender,8369
Medical,61-64,1,G22,G22,Surrender ,Surrender after lapse,1958
Medical,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,162
Medical,61-64,1,G24,G24,Surrender ,Surrender by conversion,1937
Medical,61-64,1,G25,G25,Surrender ,Surrender of consent,13
Medical,61-64,2,G21,G21,Surrender ,Surrender,9203
Medical,61-64,2,G22,G22,Surrender ,Surrender after lapse,1756
Medical,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,135
Medical,61-64,2,G24,G24,Surrender ,Surrender by conversion,3966
Medical,61-64,2,G25,G25,Surrender ,Surrender of consent,7
Medical,greater than 64,1,G21,G21,Surrender ,Surrender,7093
Medical,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,1482
Medical,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,103
Medical,greater than 64,1,G24,G24,Surrender ,Surrender by conversion,1356
Medical,greater than 64,1,G25,G25,Surrender ,Surrender of consent,2
Medical,greater than 64,2,G21,G21,Surrender ,Surrender,10250
Medical,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,1752
Medical,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,153
Medical,greater than 64,2,G24,G24,Surrender ,Surrender by conversion,3509
Medical,greater than 64,2,G25,G25,Surrender ,Surrender of consent,4
Medical,greater than 64,3,G22,G22,Surrender ,Surrender after lapse,1
Medical（Coins） ,31-40,2,G21,G21,Surrender ,Surrender,1
Medical（Coins） ,41-50,1,G21,G21,Surrender ,Surrender,2
Medical（Coins） ,41-50,2,G21,G21,Surrender ,Surrender,2
Medical（Coins） ,51-60,1,G21,G21,Surrender ,Surrender,2
Medical（Coins） ,51-60,2,G21,G21,Surrender ,Surrender,4
Medical（Coins） ,61-64,1,G21,G21,Surrender ,Surrender,3
Medical（Coins） ,61-64,2,G21,G21,Surrender ,Surrender,1
Medical（Coins） ,greater than 64,1,G21,G21,Surrender ,Surrender,1
M.I.P,18-22,1,G21,G21,Surrender ,Surrender,510
M.I.P,18-22,1,G22,G22,Surrender ,Surrender after lapse,127
M.I.P,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,13
M.I.P,18-22,1,G24,G24,Surrender ,Surrender by conversion,1
M.I.P,18-22,2,G21,G21,Surrender ,Surrender,95
M.I.P,18-22,2,G22,G22,Surrender ,Surrender after lapse,27
M.I.P,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
M.I.P,23-30,1,G21,G21,Surrender ,Surrender,14331
M.I.P,23-30,1,G22,G22,Surrender ,Surrender after lapse,1588
M.I.P,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,135
M.I.P,23-30,1,G24,G24,Surrender ,Surrender by conversion,18
M.I.P,23-30,2,G21,G21,Surrender ,Surrender,2056
M.I.P,23-30,2,G22,G22,Surrender ,Surrender after lapse,250
M.I.P,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,27
M.I.P,23-30,2,G24,G24,Surrender ,Surrender by conversion,4
M.I.P,31-40,1,G21,G21,Surrender ,Surrender,23876
M.I.P,31-40,1,G22,G22,Surrender ,Surrender after lapse,3178
M.I.P,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,229
M.I.P,31-40,1,G24,G24,Surrender ,Surrender by conversion,67
M.I.P,31-40,2,G21,G21,Surrender ,Surrender,3617
M.I.P,31-40,2,G22,G22,Surrender ,Surrender after lapse,560
M.I.P,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,44
M.I.P,31-40,2,G24,G24,Surrender ,Surrender by conversion,23
M.I.P,41-50,1,G21,G21,Surrender ,Surrender,9889
M.I.P,41-50,1,G22,G22,Surrender ,Surrender after lapse,1982
M.I.P,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,137
M.I.P,41-50,1,G24,G24,Surrender ,Surrender by conversion,142
M.I.P,41-50,2,G21,G21,Surrender ,Surrender,1581
M.I.P,41-50,2,G22,G22,Surrender ,Surrender after lapse,392
M.I.P,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,23
M.I.P,41-50,2,G24,G24,Surrender ,Surrender by conversion,19
M.I.P,51-60,1,G21,G21,Surrender ,Surrender,2906
M.I.P,51-60,1,G22,G22,Surrender ,Surrender after lapse,570
M.I.P,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,31
M.I.P,51-60,1,G24,G24,Surrender ,Surrender by conversion,116
M.I.P,51-60,2,G21,G21,Surrender ,Surrender,539
M.I.P,51-60,2,G22,G22,Surrender ,Surrender after lapse,132
M.I.P,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,9
M.I.P,51-60,2,G24,G24,Surrender ,Surrender by conversion,23
M.I.P,61-64,1,G21,G21,Surrender ,Surrender,211
M.I.P,61-64,1,G22,G22,Surrender ,Surrender after lapse,55
M.I.P,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
M.I.P,61-64,1,G24,G24,Surrender ,Surrender by conversion,23
M.I.P,61-64,2,G21,G21,Surrender ,Surrender,75
M.I.P,61-64,2,G22,G22,Surrender ,Surrender after lapse,11
M.I.P,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
M.I.P,61-64,2,G24,G24,Surrender ,Surrender by conversion,6
M.I.P,greater than 64,1,G21,G21,Surrender ,Surrender,116
M.I.P,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,31
M.I.P,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
M.I.P,greater than 64,1,G24,G24,Surrender ,Surrender by conversion,12
M.I.P,greater than 64,2,G21,G21,Surrender ,Surrender,60
M.I.P,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,14
M.I.P,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
M.I.P,greater than 64,2,G24,G24,Surrender ,Surrender by conversion,2
Nursing care,18-22,1,G21,G21,Surrender ,Surrender,7
Nursing care,18-22,1,G22,G22,Surrender ,Surrender after lapse,3
Nursing care,18-22,2,G21,G21,Surrender ,Surrender,15
Nursing care,23-30,1,G21,G21,Surrender ,Surrender,98
Nursing care,23-30,1,G22,G22,Surrender ,Surrender after lapse,12
Nursing care,23-30,2,G21,G21,Surrender ,Surrender,22
Nursing care,23-30,2,G22,G22,Surrender ,Surrender after lapse,5
Nursing care,31-40,1,G21,G21,Surrender ,Surrender,124
Nursing care,31-40,1,G22,G22,Surrender ,Surrender after lapse,18
Nursing care,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Nursing care,31-40,2,G21,G21,Surrender ,Surrender,42
Nursing care,31-40,2,G22,G22,Surrender ,Surrender after lapse,7
Nursing care,41-50,1,G21,G21,Surrender ,Surrender,79
Nursing care,41-50,1,G22,G22,Surrender ,Surrender after lapse,11
Nursing care,41-50,2,G21,G21,Surrender ,Surrender,53
Nursing care,41-50,2,G22,G22,Surrender ,Surrender after lapse,6
Nursing care,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Nursing care,51-60,1,G21,G21,Surrender ,Surrender,47
Nursing care,51-60,1,G22,G22,Surrender ,Surrender after lapse,2
Nursing care,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Nursing care,51-60,2,G21,G21,Surrender ,Surrender,60
Nursing care,51-60,2,G22,G22,Surrender ,Surrender after lapse,7
Nursing care,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Nursing care,61-64,1,G21,G21,Surrender ,Surrender,15
Nursing care,61-64,1,G22,G22,Surrender ,Surrender after lapse,2
Nursing care,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Nursing care,61-64,2,G21,G21,Surrender ,Surrender,8
Nursing care,61-64,2,G22,G22,Surrender ,Surrender after lapse,1
Nursing care,greater than 64,1,G21,G21,Surrender ,Surrender,3
Nursing care,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,1
Nursing care,greater than 64,2,G21,G21,Surrender ,Surrender,1
Nursing care,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,1
Term life,18-22,1,G21,G21,Surrender ,Surrender,1736
Term life,18-22,1,G22,G22,Surrender ,Surrender after lapse,425
Term life,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,20
Term life,18-22,1,G24,G24,Surrender ,Surrender by conversion,1
Term life,18-22,1,G25,G25,Surrender ,Surrender of consent,1
Term life,18-22,2,G21,G21,Surrender ,Surrender,810
Term life,18-22,2,G22,G22,Surrender ,Surrender after lapse,224
Term life,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,8
Term life,18-22,2,G24,G24,Surrender ,Surrender by conversion,1
Term life,18-22,2,G25,G25,Surrender ,Surrender of consent,1
Term life,23-30,1,G21,G21,Surrender ,Surrender,12468
Term life,23-30,1,G22,G22,Surrender ,Surrender after lapse,2208
Term life,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,133
Term life,23-30,1,G24,G24,Surrender ,Surrender by conversion,13
Term life,23-30,1,G25,G25,Surrender ,Surrender of consent,7
Term life,23-30,2,G21,G21,Surrender ,Surrender,2939
Term life,23-30,2,G22,G22,Surrender ,Surrender after lapse,643
Term life,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,43
Term life,23-30,2,G24,G24,Surrender ,Surrender by conversion,5
Term life,23-30,2,G25,G25,Surrender ,Surrender of consent,5
Term life,31-40,1,G21,G21,Surrender ,Surrender,21334
Term life,31-40,1,G22,G22,Surrender ,Surrender after lapse,4915
Term life,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,284
Term life,31-40,1,G24,G24,Surrender ,Surrender by conversion,57
Term life,31-40,1,G25,G25,Surrender ,Surrender of consent,38
Term life,31-40,1,G26,G26,Surrender ,Retirement surrender,8
Term life,31-40,2,G21,G21,Surrender ,Surrender,4581
